Question,Answer,Category
What is the definition of Basic Savings Bank Deposit  Account?,"The Basic Savings Bank Deposit Account or BSBDA is a Savings Account that does not have a minimum balance. In contrast, a BSBDA has a maximum account balance that has to be maintained. The BSBDA holder will get an ATM cum Debit Card as a part of the account opening formalities. The holder will also get passbook services for free and not be charged for a non operative account. The bank allows a certain number of deposits and withdrawals in the month that are free of cost.",Basic Savings Bank Deposit Account
What is BSBDA ?,"The Basic Savings Bank Deposit Account or BSBDA is a Savings Account that does not have a minimum balance. In contrast, a BSBDA has a maximum account balance that has to be maintained. The BSBDA holder will get an ATM cum Debit Card as a part of the account opening formalities. The holder will also get passbook services for free and not be charged for a non operative account. The bank allows a certain number of deposits and withdrawals in the month that are free of cost.",Basic Savings Bank Deposit Account
Whether the guidelines issued on no-frills account  with 'nil' or very low minimum balances will continue even after the  introduction of Basic Savings Bank Deposit Account?,"No. In supersession of instructions contained in circular RPCD.RF.BC.54/07.38.01/2005-06 dated December 13, 2005 and RPCD.CO.No.RRB.BC.58/03.05.33(F)/2005-06 dated December 27, 2005 on No Frill accounts, banks have now been advised to offer a 'Basic Savings Bank Deposit Account' to all their customers vide RPCD.CO.RRB.RCB.BC.No.24/07.38.01/2012-13 dated August 22, 2012 which will offer minimum common facilities as stated therein. Banks are required to convert the existing 'no-frills' accountsí into 'Basic Savings Bank Deposit Accounts'.",Basic Savings Bank Deposit Account
Can an Individual have any number of 'Basic Savings  Bank Deposit Account' in one bank?,No. An individual is eligible to have only one 'Basic Savings Bank Deposit Account' in one bank.,Basic Savings Bank Deposit Account
Whether a 'Basic Savings Bank Deposit Account' holder  can have any other savings bank account in that bank ?,"Holders of 'Basic Savings Bank Deposit Account' will not be eligible for opening any other savings account in that bank. If a customer has any other existing savings account in that bank, he / she will be required to close it within 30 days from the date of opening a 'Basic Savings Bank Deposit Account'.",Basic Savings Bank Deposit Account
Can an individual have other deposit accounts where one  holds 'Basic Savings Bank Deposit Account?,"Yes. One can have Term/Fixed Deposit, Recurring Deposit etc., accounts in the bank where one holds 'Basic Savings Bank Deposit Account'.",Basic Savings Bank Deposit Account
Whether the Basic Savings Bank Deposit Account can be  opened by only certain types of individuals like poor and weaker sections of  the population?,"No. The 'Basic Savings Bank Deposit Account' should be considered as a normal banking service available to all customers, through branches.",Basic Savings Bank Deposit Account
"Whether there are any restrictions like age, income,  amount etc criteria for opening BSBDA by banks for individuals?",No. Banks are advised not to impose restrictions like age and income criteria of the individual for opening BSBDA.,Basic Savings Bank Deposit Account
Is the 'Basic Savings Bank Deposit Account' a part of  furthering the Financial Inclusion objectives of banks?,"The aim of introducing 'Basic Savings Bank Deposit Account' is very much part of the efforts of RBI for furthering Financial Inclusion objectives. All the accounts opened earlier as 'no-frills' account vide RPCD Circular dated RPCD.RF.BC.54/07.38.01/2005-06 dated December 13, 2005 and RPCD.CO.No.RRB.BC.58/03.05.33(F)/2005-06 dated December 27, 2005 should be renamed as BSBDA as per the instructions contained in paragraph 2 of our Circular RPCD.CO.RRB.RCB.BC.No.24/07.38.01/2012-13 dated August 22, 2012 and all the new accounts opened since the issue of our circular RPCD.CO.RRB.RCB.BC.No.24 dated August 22, 2012 should be reported under the monthly report of the progress of Financial Inclusion plans submitted by banks to RPCD, CO.",Basic Savings Bank Deposit Account
What are KYC norms applicable to BSBDA accounts? Are  there any relaxations in KYC norms for BSBDAs?,"The 'Basic Savings Bank Deposit Account' would be subject to provisions of PML Act and Rules and RBI instructions on Know Your Customer (KYC) / Anti-Money Laundering (AML) for opening of bank accounts issued from time to time. BSBDA can also be opened with simplified KYC norms. However, if BSBDA is opened on the basis of Simplified KYC, the accounts would additionally be treated as ìBSBDA-Small accountî and would be subject to the conditions stipulated for such accounts as indicated in our circulars RPCD.CO.RCB.AML.BC.No.63/07.40.00/2010-11 dated April 26, 2011 and RPCD.CO.RRB.AML.BC.No.15/03.05.33(E)/2011-12 dated August 8, 2011.",Basic Savings Bank Deposit Account
